from_to,area_m2,year_from,year_to,area_km2,pct_of_area,from_class,to_class
909,15484317.358455881,2011,2012,15.48431735845588,1.0293297589067,9,9
910,1312351.9375,2011,2012,1.3123519375,0.08723942245280382,9,10
912,1093561.8125,2011,2012,1.0935618125,0.07269521095132404,9,12
1009,218705.71875,2011,2012,0.21870571875,0.01453860054279483,10,9
1010,39665292.38155638,2011,2012,39.66529238155638,2.6367753191118197,10,10
1012,2438694.8145220587,2011,2012,2.4386948145220586,0.16211377533593344,10,12
1013,2622651.375,2011,2012,2.622651375,0.17434240367405393,10,13
1209,1311241.5625,2011,2012,1.3112415625,0.0871656095746131,12,9
1210,5293564.556985294,2011,2012,5.293564556985294,0.35189304139540645,12,10
1212,541108167.6827207,2011,2012,541.1081676827207,35.97050660287189,12,12
1213,1310086.1875,2011,2012,1.3100861875,0.08708880529305094,12,13
1313,890148107.0615807,2011,2012,890.1481070615806,59.17315663467665,13,13
707,54049.00091911765,2012,2013,0.05404900091911765,0.003592941412741189,7,7
909,16577036.686580881,2012,2013,16.577036686580882,1.1019689651780291,9,9
910,437227.953125,2012,2013,0.437227953125,0.02906500384607889,9,10
1009,1468001.2615808824,2012,2013,1.4680012615808824,0.09758630940437313,10,9
1010,40474644.61243873,2012,2013,40.47464461243873,2.6905775189375545,10,10
1012,3672831.0332720587,2012,2013,3.672831033272059,0.24415375857163246,10,12
1013,655731.96875,2012,2013,0.65573196875,0.04359019604647019,10,13
1209,2624854.171875,2012,2013,2.624854171875,0.17448883598513196,12,9
1210,3393192.297487745,2012,2013,3.393192297487745,0.22556459730462614,12,10
1212,538622377.84038,2012,2013,538.62237784038,35.80526215586939,12,12
1313,894080844.6240807,2012,2013,894.0808446240807,59.43458784364375,13,13
707,54049.00091911765,2013,2014,0.05404900091911765,0.003592941412741189,7,7
909,19358769.026286766,2013,2014,19.358769026286765,1.2868863762777694,9,9
910,874298.8125,2013,2014,0.8742988125,0.05811956478608256,9,10
912,218384.546875,2013,2014,0.218384546875,0.01451725043991278,9,12
913,218439.734375,2013,2014,0.218439734375,0.014520919063769719,9,13
1009,1089542.2994485293,2013,2014,1.0895422994485293,0.07242801128701769,10,9
1010,40383441.415441185,2013,2014,40.38344141544118,2.68451472891564,10,10
1012,1083206.9450367647,2013,2014,1.0832069450367647,0.07200686460820147,10,12
1013,1748874.203125,2013,2014,1.748874203125,0.11625751527740058,10,13
1209,7700190.669607843,2013,2014,7.700190669607843,0.5118750295539964,12,9
1210,17889440.37714461,2013,2014,17.88944037714461,1.1892118279483734,12,10
1212,514740569.82689947,2013,2014,514.7405698268994,34.21770391124663,12,12
1213,1965008.0,2013,2014,1.965008,0.13062514569201764,12,13
1313,894736576.5928307,2013,2014,894.7365765928306,59.47817803969022,13,13
707,54049.00091911765,2014,2015,0.05404900091911765,0.003592941412741189,7,7
909,27274636.260968138,2014,2015,27.274636260968137,1.813098641474106,9,9
910,436658.65625,2014,2015,0.43665865625,0.029027159477384774,9,10
912,219025.25,2014,2015,0.21902525,0.01455984158409563,9,12
913,218181.828125,2014,2015,0.218181828125,0.014503774583197055,9,13
1009,4411422.431985294,2014,2015,4.411422431985295,0.2932520874658596,10,9
1010,47912861.152205884,2014,2015,47.912861152205885,3.1850376530417717,10,10
1011,130393.03235294117,2014,2015,0.13039303235294117,0.008667959035447648,10,11
1012,5380657.254166666,2014,2015,5.380657254166667,0.35768258335046593,10,12
1013,1311846.734375,2014,2015,1.311846734375,0.08720583875655058,10,13
1209,4141967.0800245097,2014,2015,4.14196708002451,0.2753398730589099,12,9
1210,6467500.24632353,2014,2015,6.46750024632353,0.42993115648341945,12,10
1212,505432693.9924633,2014,2015,505.43269399246327,33.59895699675242,12,12
1313,898668898.5303305,2014,2015,898.6688985303306,59.7395816197234,13,13
707,54049.00091911765,2015,2016,0.05404900091911765,0.003592941412741189,7,7
909,27277246.805269606,2015,2016,27.277246805269606,1.8132721790524338,9,9
910,3096864.8564338237,2015,2016,3.096864856433824,0.2058660438329806,9,10
912,4797760.34564951,2015,2016,4.797760345649509,0.318934143853792,9,12
913,656153.765625,2015,2016,0.656153765625,0.04361823525966898,9,13
1009,655336.90625,2015,2016,0.65533690625,0.04356393401770494,10,9
1010,47204104.882414214,2015,2016,47.204104882414214,3.1379226331529635,10,10
1012,5865114.437990196,2015,2016,5.865114437990196,0.3898871800841653,10,12
1013,1092463.828125,2015,2016,1.092463828125,0.07262222174774222,10,13
1111,130393.03235294117,2015,2016,0.13039303235294117,0.008667959035447648,11,11
1209,1801146.572242647,2015,2016,1.801146572242647,0.11973235397101382,12,9
1210,1092966.875,2015,2016,1.092966875,0.07265566210591724,12,10
1212,507701595.6431373,2015,2016,507.7015956431373,33.7497836644709,12,12
1213,436667.40625,2015,2016,0.43666740625,0.029027741139151447,12,13
1313,900198927.0928305,2015,2016,900.1989270928306,59.84129123306315,13,13
707,54049.00091911765,2016,2017,0.05404900091911765,0.003592941412741189,7,7
909,25578935.940012254,2016,2017,25.578935940012254,1.7003758935387983,9,9
910,218833.734375,2016,2017,0.218833734375,0.014547110462177592,9,10
912,3935960.609375,2016,2017,3.935960609375,0.2616454630401769,9,12
1009,436860.96875,2016,2017,0.43686096875,0.02904060832837562,10,9
1010,45603204.81433824,2016,2017,45.603204814338234,3.03150179179721,10,10
1012,5353870.830759804,2016,2017,5.353870830759804,0.3559019389662754,10,12
